session,window_start_s,window_end_s,label,label_int,eye_distance_left,eye_distance_right,action_left,action_right,TP9_bp_delta,TP9_bp_theta,TP9_bp_alpha,TP9_bp_beta,TP9_bp_gamma,TP9_bp_emg,TP9_mean,TP9_std,TP9_rms,TP9_mav,TP9_peak2peak,TP9_var,TP9_kurtosis,TP9_skewness,TP9_zcr,TP9_iemg,AF7_bp_delta,AF7_bp_theta,AF7_bp_alpha,AF7_bp_beta,AF7_bp_gamma,AF7_bp_emg,AF7_mean,AF7_std,AF7_rms,AF7_mav,AF7_peak2peak,AF7_var,AF7_kurtosis,AF7_skewness,AF7_zcr,AF7_iemg,AF8_bp_delta,AF8_bp_theta,AF8_bp_alpha,AF8_bp_beta,AF8_bp_gamma,AF8_bp_emg,AF8_mean,AF8_std,AF8_rms,AF8_mav,AF8_peak2peak,AF8_var,AF8_kurtosis,AF8_skewness,AF8_zcr,AF8_iemg,TP10_bp_delta,TP10_bp_theta,TP10_bp_alpha,TP10_bp_beta,TP10_bp_gamma,TP10_bp_emg,TP10_mean,TP10_std,TP10_rms,TP10_mav,TP10_peak2peak,TP10_var,TP10_kurtosis,TP10_skewness,TP10_zcr,TP10_iemg
Jaiden,67.496,67.746,neutral,0,0.3049605065095759,0.3105103144519617,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1729.221049768485,12528.2591550641,2678.727012045737,39825.62933144089,189.13058541479617,39826.07841632999,39825.62933144089,718.1168458601169,35770.37833934351,-0.6985733658182212,0.19859848425273297,0.0,1831978.9492462808,0.0,0.0,0.0,1328.9141427962186,13505.084586811845,3804.049370207953,22338.489870845067,229.7088998474463,22339.67089928848,22338.489870845067,882.7374437734434,52766.178669124114,-0.508418618211242,0.4564592962415481,0.0,1027570.5340588731,0.0,0.0,0.0,1020.7609734085454,11497.280449636854,3627.930779906829,32141.418343018562,155.91007842097298,32141.796481427165,32141.418343018562,554.5914834250761,24307.952553233947,-0.8164808167017559,0.21369395713909384,0.0,1478505.243778854,0.0,0.0,0.0,1180.0199257312631,11574.13724941299,3036.8254110855287,19389.48622712977,134.99359102466593,19389.956148007983,19389.48622712977,439.8599791359884,18223.269617734764,-1.3838323657155938,0.11215589512477647,0.0,891916.3664479695
Jaiden,67.54,67.79,neutral,0,0.3058862865227165,0.31249315489463664,NEUTRAL,NEUTRAL,0.0,0.0,0.0,2555.4204112363923,8533.847047137617,3019.2360364218252,39760.489080162726,162.48494782789354,39760.82108372525,39760.489080162726,655.4202026629719,26401.35827063328,-0.7028796452212216,0.2542031188169572,0.0,1868742.986767648,0.0,0.0,0.0,2132.708371343494,8182.77022707717,3951.417084396432,22251.558705399035,167.00886451418015,22252.18543830349,22251.558705399035,655.040223007225,27891.96082631578,-0.838836221779971,0.21707539405723664,0.0,1045823.2591537547,0.0,0.0,0.0,1854.7580274246504,8156.914189743331,3505.9572455727284,32095.165667312667,145.18905195012687,32095.49406183136,32095.165667312667,579.3125127926505,21079.860806176635,-0.9323645761867696,0.1774295043507292,0.0,1508472.7863636953,0.0,0.0,0.0,1977.8552330654543,8312.681461090875,3148.5981139682417,19374.051241368456,135.15444104186201,19374.52265801932,19374.051241368456,418.983449814732,18266.72293333816,-1.417382891179594,0.15145379800588563,0.0,910580.4083443173
Jaiden,67.584,67.834,neutral,0,0.30654366326933813,0.3142734169167589,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1773.966245157543,10596.708697072023,2854.5749558689336,39732.87202148881,141.7977881572134,39733.12504307628,39732.87202148881,461.4741160242702,20106.61272627797,-1.475517149328338,-0.016014677552693073,0.0,1827712.1129884853,0.0,0.0,0.0,1930.4225918027255,10710.483250818956,3436.1898809869062,22229.164087361743,153.44094631704561,22229.69365841238,22229.164087361743,479.55667728861226,23544.124006670474,-1.380168359100463,0.03074988733673734,0.0,1022541.5480186401,0.0,0.0,0.0,1599.325330589514,10801.315149904849,3089.3547407808032,32082.742098378458,138.0922364392447,32083.03928895811,32082.742098378458,427.3430022410139,19069.465764792258,-1.422507029669905,-0.10817366401830612,0.0,1475806.136525409,0.0,0.0,0.0,1651.643014715978,10498.264681902641,2819.8451313173064,19385.50129981938,136.1660611660436,19385.979517205527,19385.50129981938,398.75512108267867,18541.196213474726,-1.5291151946162203,-0.0901263936958863,0.0,891733.0597916915
Jaiden,67.628,67.878,neutral,0,0.306417988234793,0.31473074653434685,NEUTRAL,NEUTRAL,0.0,0.0,0.0,951.9141938802379,13030.440677387196,3100.9755097329808,39713.42669488112,137.50022438147036,39713.66472842064,39713.42669488112,401.34792343949084,18906.311704954693,-1.4493143604098981,0.05487989553560301,0.0,1787104.2012696504,0.0,0.0,0.0,1298.0224461898415,13009.325274386738,4092.5231594736506,22222.37901557037,140.23171304426435,22222.821469044058,22222.37901557037,459.8424386790248,19664.9333433289,-1.2612717693904256,0.051522881654748345,0.0,1000007.0557006665,0.0,0.0,0.0,947.9517531473721,13255.11122405584,3598.4079916420183,32061.551359679466,137.233809592449,32061.845060879754,32061.551359679466,427.3430022410139,18833.118495256545,-1.3681604107880336,0.07231892550169056,0.0,1442769.811185576,0.0,0.0,0.0,1064.1492353048345,12136.261446288452,3390.2753527427026,19376.724288073096,133.83572207547803,19377.186486600818,19376.724288073096,406.53352815312246,17912.0005034646,-1.4376977787198895,0.05212810745518737,0.0,871952.5929632894
Jaiden,67.672,67.922,neutral,0,0.30600815932742875,0.3148563101420463,NEUTRAL,NEUTRAL,0.0,0.0,0.0,551.7375606784678,15626.782124200608,1518.2949106858557,39692.138893461895,137.45679809414978,39692.376904252196,39692.138893461895,401.34792343949084,18894.371342295857,-1.4867491022999917,0.21079182359738555,0.0,1786146.2502057853,0.0,0.0,0.0,641.2638739371611,15824.854940446752,2453.1962597225915,22214.765514703457,141.3393002842357,22215.21513897767,22214.765514703457,459.8424386790248,19976.797804837348,-1.3191486434161421,0.12090594260399454,0.0,999664.4481616556,0.0,0.0,0.0,524.3197403027996,14982.932279091152,2049.4729486167926,32034.46452233766,137.2865269727499,32034.758697755136,32034.46452233766,446.2972815391149,18847.590488239588,-1.457297297538597,0.1778328745755267,0.0,1441550.9035051947,0.0,0.0,0.0,570.5066209921121,14564.408147258544,1719.0679707278882,19359.78067236511,134.45359175405375,19360.247556537528,19359.78067236511,414.26723173466235,18077.76833556575,-1.5001008513450977,0.19019103107418414,0.0,871190.1302564299
Jaiden,67.716,67.966,neutral,0,0.30551998455285945,0.31493429813461754,NEUTRAL,NEUTRAL,0.0,0.0,0.0,708.9727903537394,13471.666616228815,2185.892438875549,39695.95762961338,141.09720008514822,39696.20839012126,39695.95762961338,422.1126940384711,19908.419871868347,-1.4724027243133369,0.09197581797330694,0.0,1826014.0509622155,0.0,0.0,0.0,371.91595300848036,14418.030645914854,2174.6015780345674,22229.75543677483,145.2242271444801,22230.2297976195,22229.75543677483,459.8424386790248,21090.07614971155,-1.3600277990978527,0.0064046697533194355,0.0,1022568.7500916423,0.0,0.0,0.0,644.6877596390029,12756.910045230103,2564.746409709266,32029.662050279465,144.05075661816582,32029.985976824828,32029.662050279465,500.7014275433321,20750.620482266047,-1.422239242351912,0.0784928240018925,0.0,1473364.4543128554,0.0,0.0,0.0,662.01281125604,12917.798679465566,2141.6327238776885,19362.326428079126,138.91732016961637,19362.824761106905,19362.326428079126,431.05339182059834,19298.021843107705,-1.4981553833686616,0.0696050911494089,0.0,890667.0156916399
Jaiden,67.76,68.01,neutral,0,0.3052122336353954,0.3149548447153969,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1190.5392139996748,11211.690793662034,3716.4303750121453,39683.45668766553,140.681104538992,39683.70604990164,39683.45668766553,410.3780281994332,19791.173174310796,-1.5275144472902673,0.17024973947349306,0.0,1825439.0076326143,0.0,0.0,0.0,693.7577255472497,12019.23222566689,3703.071338271915,22233.043086839712,143.1384411523612,22233.50385149868,22233.043086839712,457.2943398111238,20488.613335527967,-1.3878793297572223,0.07885967004600075,0.0,1022719.9819946267,0.0,0.0,0.0,1117.9665241133948,11998.779580817129,4036.570766027264,32008.459962941146,143.7875115580291,32008.782920437417,32008.459962941146,449.87356065196946,20674.848480050357,-1.5262412450850102,0.11978508027089241,0.0,1472389.1582952926,0.0,0.0,0.0,1232.0754610086278,11169.910478983385,3765.200669787113,19352.562603012066,137.12626491042377,19353.04841403621,19352.562603012066,388.920353522346,18803.612528283717,-1.5897187985350751,0.13270712851977268,0.0,890217.8797385549
Jaiden,67.804,68.054,neutral,0,0.3046661921744729,0.31485241575195255,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1659.3986157982017,11146.181224918142,4909.504318132033,39686.81722385363,141.0438476860272,39687.06785246972,39686.81722385363,410.3780281994332,19893.36697007924,-1.4656902187757523,0.11194308498431017,0.0,1825593.592297267,0.0,0.0,0.0,1017.5736350447928,12640.376762723781,5118.732935023387,22246.145096350425,145.82766757455502,22246.62305511797,22246.145096350425,452.5110664976928,21265.708630234923,-1.3900644925529506,0.0691724558171854,0.0,1023322.6744321196,0.0,0.0,0.0,1679.6239447682578,13021.281598632293,5195.7149786032915,32006.624690358363,141.62452155443484,32006.93802247512,32006.624690358363,449.87356065196946,20057.505105522574,-1.4926539456233547,0.09585790202820171,0.0,1472304.7357564848,0.0,0.0,0.0,1460.7414061651084,11341.508931360027,4956.457470622786,19359.221479229793,138.00804303329872,19359.71338893771,19359.221479229793,395.1117867364628,19046.21994188083,-1.5119276945928335,0.08523239222175943,0.0,890524.1880445704
Jaiden,67.848,68.098,neutral,0,0.30391300880538147,0.3146211849271244,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1777.6506778524645,13826.938010302742,3386.6905349518993,39680.60198117259,138.0810417315734,39680.84222849011,39680.60198117259,407.20408048678655,19066.374085676518,-1.5060319268503006,0.03780843990860388,0.0,1825307.6911339392,0.0,0.0,0.0,895.9220816952923,15510.651125649783,3573.0703823518593,22243.137328998724,140.29969155374968,22243.57979822822,22243.137328998724,446.5878542170358,19684.0034500773,-1.4084746753607849,0.03445520133619924,0.0,1023184.3171339413,0.0,0.0,0.0,1989.2649799585229,14645.027872884632,3529.4071374344876,31996.765141516134,139.44650821200554,31997.069004050896,31996.765141516134,439.5023512247062,19445.328652520926,-1.474410470615314,0.024807211708329696,0.0,1471851.1965097422,0.0,0.0,0.0,1293.7227778949366,13553.414730777191,3399.4864988577215,19355.346367011727,136.35352433265675,19355.82664911504,19355.346367011727,408.38872294291286,18592.283597936414,-1.5129678038108836,0.03587171201274434,0.0,890345.9328825395
Jaiden,67.892,68.142,neutral,0,0.3031227879989293,0.3141839661976902,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1493.328951156192,15767.979430925609,1458.4865049971027,39685.52179449021,144.95150647678332,39685.78651154827,39685.52179449021,423.14087428341736,21010.93922988896,-1.5427133784419291,0.08972370016253195,0.0,1825534.0025465495,0.0,0.0,0.0,818.7884921295957,17576.57534619718,1603.79042715469,22253.760724412343,144.66680577290978,22254.230942993512,22253.760724412343,446.5878542170358,20928.484692536804,-1.4183812625577603,0.06671230329885766,0.0,1023672.9933229678,0.0,0.0,0.0,1700.6399527513217,14809.84976472291,1503.2625025509014,31991.046010380516,143.19674887056445,31991.366493902224,31991.046010380516,437.8036186460995,20505.3088870995,-1.5871286368135518,0.06067515100613898,0.0,1471588.1164775037,0.0,0.0,0.0,1199.7507938331944,15226.735057025884,1446.6156655588666,19357.854135558115,142.35976647092255,19358.37759309013,19357.854135558115,416.010667802173,20266.3031096556,-1.576136627770324,0.08659489633450855,0.0,890461.2902356732
Jaiden,67.936,68.186,neutral,0,0.30225240284415406,0.31362875086160896,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1489.9343468787742,13487.207275998906,2393.4674012985706,39706.67416418787,141.55412829278546,39706.92648332557,39706.67416418787,429.51112145317893,20037.571236730364,-1.4525773734563847,-0.07403617655578434,0.0,1866213.68571683,0.0,0.0,0.0,1392.0968246426157,14186.096215442829,2072.8253928127974,22276.283063749823,138.8773395855935,22276.715962002963,22276.283063749823,446.5878542170358,19286.915450372253,-1.411303054511271,-0.05089971857890537,0.0,1046985.3039962417,0.0,0.0,0.0,1600.8260843694095,12257.785188598753,2247.047381317866,32000.27823197861,137.8389514242688,32000.57509640372,32000.27823197861,437.8036186460995,18999.576529741935,-1.4634450849289191,-0.11731880351764903,0.0,1504013.0769029947,0.0,0.0,0.0,1603.9999558695476,13018.083608818732,2165.6943656909793,19375.55023495406,136.5786850252206,19376.031602070416,19375.55023495406,416.010667802173,18653.737203218418,-1.5144890276310936,-0.06513805875456055,0.0,910650.8610428408
Jaiden,67.98,68.23,neutral,0,0.301462221010422,0.31312385730792586,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1292.870303574865,12089.956269256942,3649.0144363013155,39706.568112293964,142.51774405548153,39706.823879071606,39706.568112293964,429.51112145317893,20311.30737066374,-1.5119660464226896,0.00670067780490493,0.0,1866208.7012778164,0.0,0.0,0.0,1313.1804383800786,11010.834938104557,2659.626619222971,22280.570318563965,140.07737097086107,22281.010645622242,22280.570318563965,483.89291571294234,19621.66985810823,-1.418269322811493,0.07057083324267438,0.0,1047186.8049725064,0.0,0.0,0.0,1434.3280935956661,10882.365681128042,3034.459745335408,31991.836406109975,137.82012594355328,31992.133267764722,31991.836406109975,408.29931596509414,18994.387115096888,-1.5580625224178217,-0.04829897964741177,0.0,1503616.3110871688,0.0,0.0,0.0,1481.5278927351683,11356.68154930053,3122.5906693531074,19373.78206929693,138.13952578162562,19374.274546346103,19373.78206929693,418.9163945813634,19082.528583172407,-1.558744742151554,0.022746513865246034,0.0,910567.7572569557
Jaiden,68.024,68.274,neutral,0,0.3005102469964047,0.3124508627538592,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1198.0045144637138,11060.345292195072,4266.858202056681,39713.06010513566,141.11653533110328,39713.310826354704,39713.06010513566,429.51112145317893,19913.87654385452,-1.4528288232103688,-0.04717267287386815,0.0,1866513.824941376,0.0,0.0,0.0,1081.4760129714653,9872.8659823604,3259.9720358377845,22292.646918536262,139.24014525758125,22293.08176212019,22292.646918536262,483.89291571294234,19387.818051352326,-1.3763167171714004,-0.016857783267067574,0.0,1047754.4051712044,0.0,0.0,0.0,1511.9918690582406,10242.232877091074,3494.7590073755223,31992.652006998072,134.52593119176524,31992.934839852394,31992.652006998072,408.29931596509414,18097.226163011554,-1.4640964245551458,-0.12445108187468999,0.0,1503654.6443289095,0.0,0.0,0.0,1226.3872399542172,10568.647104875736,3631.0786706830804,19376.555587885512,137.06655245584054,19377.040374892644,19376.555587885512,418.9163945813634,18787.239802129687,-1.4805545272079859,-0.05131555098782143,0.0,910698.1126306191
Jaiden,68.068,68.318,neutral,0,0.2998545841636599,0.3119160218488591,NEUTRAL,NEUTRAL,0.0,0.0,0.0,1433.3113350852555,12215.226966945793,2721.949274908684,39718.835415447684,138.77350769100522,39719.0778448576,39718.835415447684,412.6579061338707,19258.086436865484,-1.5420394647440654,0.012377677239746837,0.0,1866785.2645260412,0.0,0.0,0.0,1608.6173053231205,11491.952582654632,2469.278333029545,22305.159139740925,134.0773806926486,22305.562108881757,22305.159139740925,431.522778454153,17976.74401340142,-1.4570739177789929,0.08349123606478807,0.0,1048342.4795678235,0.0,0.0,0.0,1853.0857084771646,11566.159471316052,2487.0576585811787,31991.122576994498,136.24582048939374,31991.412701846846,31991.122576994498,399.93976353881226,18562.923600828104,-1.584476500395529,-0.049941128844874984,0.0,1503582.7611187415,0.0,0.0,0.0,1394.387599560874,12007.387946367617,2443.660677373824,19379.779945915445,135.59772106344644,19380.254319643598,19379.779945915445,392.6754465908416,18386.741957600225,-1.5888093540477195,0.004599539371138353,0.0,910849.657458026
